"Issues","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11"
"New",1,1,2,1,2,0
"Closed",2,0,1,1,2,1
"Active",7,8,9,9,9,8
"documentation",2,2,2,2,2,2
"enhancement",1,2,2,2,2,2
"wontfix",1,1,1,1,1,1
